sid,name,gender,dob,city,state,email,quali,stream
11,Mayur Satav,male,2011-08-19,Akola,Maharashtra,mayursatav9@gmail.com,B.TECH,Information Technology
22,Shubham Morankar,male,2011-08-19,Amritsar,Punjab,shubham@gmail.com,B.E,Electronics
33,Subhashree Iyer ,female,2011-08-19,Nashik,Maharashtra,subhashree@gmail.com,B.DES,Product Design
44,Rohini Tagwale,female,2011-08-19,Solapur,Maharashtra,rohini@gmail.com,B.ARCH,Telecommunication
55,Shourya Singh,male,2011-08-09,Udaypur,Rajasthan,shourya@gmail.com,MBA,Finance
66,Suhani Jain,female,2011-08-19,Nagpur,Maharashtra,suhani@gmail.com,MS,Computer Science
77,Tanmay Varade,male,2011-08-19,Chennai,Tamil Nadu,tanmay@gmail.com,B.TECH,Information Technology
88,Mruganka Patil,female,2011-08-19,Indore,Madhya Pradesh,mruganka@gmail.com,MBA,Computer Science
99,Tanmay Varade,male,2011-08-19,Chennai,Tamil Nadu,tanmay@gmail.com,B.TECH,Information Technology

